"","x"
"1"," 1Nsub"
"2","1Bbb"
"3","1Bbub"
"4","1Kb"
"5","1Kub"
"6","1Nsb"
"7","1Sb"
"8","1Sub"
"9","1Vbb"
"10","1Vbub"
"11","2Bbb"
"12","2Bbub"
"13","2Vbb"
"14","2Vbub"
"15","Brb"
"16","Brub"
"17","Flb"
"18","Flub"
"19","Hib"
"20","Hiub"
"21","Klb"
"22","Klub"
"23","Lab"
"24","Laub"
"25","Mab"
"26","Maub"
"27","Seb"
"28","Seub"
"29","Slb"
"30","Slub"
"31","Drangedal 4 UB"
"32","Drangedal 4 B"
"33","Drangedal 3 B"
"34","Drangedal 3 UB"
"35","Drangedal 1 UB"
"36","Drangedal 1 B"
"37","Cappelen 1 B"
"38","Cappelen 1 UB"
"39","Cappelen 2 UB"
"40","Cappelen 2 B"
"41","Kviteseid 2 B"
"42","Kviteseid 2 UB"
"43","Fyresdal 1 B"
"44","Fyresdal 1 UB"
"45","Kviteseid 1 UB"
"46","Kviteseid 1 B"
"47","Fritzøe 2 UB"
"48","Fritzøe 2 B"
"49","Kviteseid 3 B"
"50","Kviteseid 3 UB"
"51","Fritzøe 1 UB"
"52","Fritzøe 1 B"
"53","Notodden 6 UB"
"54","Notodden 6 B"
"55","Notodden 1 UB"
"56","Notodden 1 B"
"57","Notodden 3 B"
"58","Notodden 3 UB"
"59","Notodden 5 UB"
"60","Notodden 5 B"
"61","Notodden 4 B"
"62","Notodden 4 UB"
"63","SSB1"
"64","STSKN2"
"65","STSKN1"
"66","SSB2"
"67","SSA1"
"68","SSA2"
"69","FK1"
"70","FK2"
"71","DH2"
"72","DH1"
"73","SD2"
"74","SD1"
"75","DD1"
"76","DD2"
"77","OL2"
"78","OL1"
"79","JCD1"
"80","JCD2"
"81","M1.2"
"82","OIA1"
"83","HP2"
"84","HP1"
"85","OIA2"
"86","M2.2"
"87","M3.2"
"88","M3.1"
"89","M2.1"
"90","M1.1"
"91","TH1"
"92","TH2"
"93","SK1"
"94","SK2"
